Time,Protocol
0.0,UDP
0.040611,UDP
0.044585,UDP
0.044585,UDP
0.046896,UDP
0.062417,UDP
0.063522,UDP
0.063522,UDP
0.067055,UDP
0.067055,UDP
0.068873,UDP
0.077838,UDP
0.080814,UDP
0.080814,UDP
0.080814,UDP
0.084235,UDP
0.084235,UDP
0.092412,UDP
0.092412,UDP
0.092412,UDP
0.092724,UDP
0.094966,UDP
0.098534,UDP
0.101562,UDP
0.101562,UDP
0.101562,UDP
0.101903,UDP
0.110358,UDP
0.110641,UDP
0.115656,UDP
0.115656,UDP
0.115656,UDP
0.120562,UDP
0.12454,UDP
0.126081,UDP
0.126081,UDP
0.126081,UDP
0.132058,UDP
0.1375,UDP
0.1375,UDP
0.1375,UDP
0.137693,UDP
0.151433,UDP
0.151433,UDP
0.151726,UDP
0.153054,UDP
0.153054,UDP
0.154751,UDP
0.159189,UDP
0.159189,UDP
0.159375,UDP
0.16019,UDP
0.166824,UDP
0.166958,UDP
0.170912,UDP
0.170912,UDP
0.17189,UDP
0.179923,UDP
0.180212,UDP
0.182861,UDP
0.182861,UDP
0.182861,UDP
0.190622,UDP
0.190949,UDP
0.19559,UDP
0.19559,UDP
0.19559,UDP
0.201512,UDP
0.206035,UDP
0.206035,UDP
0.206035,UDP
0.206397,UDP
0.21711,UDP
0.222591,UDP
0.222591,UDP
0.222591,UDP
0.222591,UDP
0.232223,UDP
0.240233,UDP
0.240233,UDP
0.240233,UDP
0.240233,UDP
0.240233,UDP
0.240233,UDP
0.241825,UDP
0.241825,UDP
0.247651,UDP
0.247651,UDP
0.247915,UDP
0.250738,UDP
0.250738,UDP
0.250738,UDP
0.259482,UDP
0.25987,UDP
0.262831,UDP
0.262831,UDP
0.262831,UDP
0.268687,UDP
0.274625,UDP
0.274625,UDP
0.274846,UDP
0.275413,UDP
0.280619,UDP
0.284808,UDP
0.284808,UDP
0.284808,UDP
0.285171,UDP
0.290939,UDP
0.292509,UDP
0.292509,UDP
0.292881,UDP
0.293738,UDP
0.3036,UDP
0.303996,UDP
0.30561,UDP
0.30561,UDP
0.30561,UDP
0.319028,UDP
0.319028,UDP
0.319028,UDP
0.319028,UDP
0.319573,UDP
0.325967,UDP
0.32838,UDP
0.32838,UDP
0.32838,UDP
0.328681,UDP
0.332424,UDP
0.335459,UDP
0.335459,UDP
0.335459,UDP
0.340406,UDP
0.340491,UDP
0.342047,UDP
0.342047,UDP
0.347979,UDP
0.348418,UDP
0.349229,UDP
0.356413,UDP
0.356413,UDP
0.356413,UDP
0.35679,UDP
0.360434,UDP
0.360434,UDP
0.364252,UDP
0.364252,UDP
0.371186,UDP
0.371186,UDP
0.371441,UDP
0.37202,UDP
0.37202,UDP
0.379478,UDP
0.37978,UDP
0.380754,UDP
0.380754,UDP
0.38153,UDP
0.388309,UDP
0.391552,UDP
0.392761,UDP
0.392761,UDP
0.393252,UDP
0.399956,UDP
0.400207,UDP
0.401501,UDP
0.401501,UDP
0.401501,UDP
0.409937,UDP
0.410334,UDP
0.416547,UDP
0.416547,UDP
0.416547,UDP
0.421036,UDP
0.421036,UDP
0.425087,UDP
0.425087,UDP
0.425381,UDP
0.428817,UDP
0.432769,UDP
0.432769,UDP
0.432769,UDP
0.433026,UDP
0.437152,UDP
0.439079,UDP
0.439079,UDP
0.440179,UDP
0.440559,UDP
0.446678,UDP
0.450655,UDP
0.450655,UDP
0.450655,UDP
0.454984,UDP
0.455305,UDP
0.456593,UDP
0.456593,UDP
0.459,UDP
0.464768,UDP
0.465032,UDP
0.466972,UDP
0.466972,UDP
0.467327,UDP
0.472979,UDP
0.475151,UDP
0.475151,UDP
0.475313,UDP
0.475321,UDP
0.481567,UDP
0.486672,UDP
0.486672,UDP
0.486672,UDP
0.486865,UDP
0.490752,UDP
0.494773,UDP
0.494773,UDP
0.494773,UDP
0.494971,UDP
0.497985,UDP
0.499091,UDP
0.500028,UDP
0.500028,UDP
0.506006,UDP
0.506299,UDP
0.507139,UDP
0.507139,UDP
0.507678,UDP
0.515847,UDP
0.516132,UDP
0.520364,UDP
0.520364,UDP
0.520364,UDP
0.527467,UDP
0.527467,UDP
0.527467,UDP
0.527467,UDP
0.52806,UDP
0.530849,UDP
0.533002,UDP
0.533002,UDP
0.533002,UDP
0.539864,UDP
0.540189,UDP
0.550882,UDP
0.550882,UDP
0.551487,UDP
0.551487,UDP
0.551739,UDP
0.551739,UDP
0.552053,UDP
0.556117,UDP
0.556711,UDP
0.559944,UDP
0.559944,UDP
0.560097,UDP
0.565116,ARP
0.565116,UDP
0.56602,UDP
0.56602,UDP
0.56602,UDP
0.571369,UDP
0.571816,UDP
0.572129,UDP
0.572961,UDP
0.572961,UDP
0.579654,UDP
0.580063,UDP
0.582225,UDP
0.583254,UDP
0.583254,UDP
0.589759,UDP
0.589991,UDP
0.590861,UDP
0.590861,UDP
0.590861,UDP
0.596584,UDP
0.597243,UDP
0.598718,UDP
0.598718,UDP
0.599071,UDP
0.605967,UDP
0.606008,UDP
0.606008,UDP
0.606258,UDP
0.606511,UDP
0.613903,UDP
0.619144,UDP
0.619144,UDP
0.619144,UDP
0.620625,UDP
0.623674,UDP
0.62953,UDP
0.630578,UDP
0.630578,UDP
0.635615,UDP
0.635615,UDP
0.635615,UDP
0.635615,UDP
0.636563,UDP
0.637674,UDP
0.637816,UDP
0.64069,UDP
0.64069,UDP
0.643295,UDP
0.647086,UDP
0.647086,UDP
0.647086,UDP
0.649668,UDP
0.649901,UDP
0.652057,UDP
0.652057,UDP
0.652057,UDP
0.655021,UDP
0.656477,UDP
0.65756,UDP
0.65756,UDP
0.66129,UDP
0.661565,UDP
0.668972,UDP
0.668972,UDP
0.668972,UDP
0.670233,UDP
0.670233,UDP
0.670233,UDP
0.670233,UDP
0.674124,UDP
0.674895,UDP
0.674895,UDP
0.675221,UDP
0.675618,UDP
0.680869,UDP
0.68413,UDP
0.68413,UDP
0.68413,UDP
0.684462,UDP
0.686387,UDP
0.687579,UDP
0.688653,UDP
0.688653,UDP
0.69384,UDP
0.69424,UDP
0.702833,UDP
0.702833,UDP
0.702833,UDP
0.702833,UDP
0.702833,UDP
0.702833,UDP
0.702833,UDP
0.70663,UDP
0.710832,UDP
0.71118,UDP
0.71419,UDP
0.71419,UDP
0.714352,UDP
0.72188,UDP
0.722349,UDP
0.724115,UDP
0.724115,UDP
0.724115,UDP
0.730559,UDP
0.731411,UDP
0.731411,UDP
0.731411,UDP
0.731929,UDP
0.737864,UDP
0.739376,UDP
0.740625,UDP
0.740625,UDP
0.745161,UDP
0.745535,UDP
0.74762,UDP
0.755697,UDP
0.755697,UDP
0.755697,UDP
0.755697,UDP
0.755697,UDP
0.755697,UDP
0.756021,UDP
0.757954,UDP
0.760052,UDP
0.760052,UDP
0.760052,UDP
0.764264,UDP
