Time,Protocol
0.308867,TLSv1.2
0.308867,TLSv1.2
0.308923,TCP
0.3116,TLSv1.2
0.3116,TCP
0.311652,TCP
0.313096,TCP
0.313096,TCP
0.313149,TCP
0.31477,TCP
0.31477,TCP
0.31482,TCP
0.316973,TCP
0.316973,TCP
0.317032,TCP
0.319231,TCP
0.319231,TCP
0.319272,TCP
0.321593,TCP
0.321593,TCP
0.321593,TCP
0.321593,TCP
0.321661,TCP
0.324206,TCP
0.324206,TCP
0.324259,TCP
0.325571,TCP
0.325571,TCP
0.325622,TCP
0.327118,TCP
0.327118,TCP
0.327152,TCP
0.328314,TCP
0.328314,TCP
0.328352,TCP
0.329887,MDNS
0.329887,TCP
0.329887,TCP
0.330026,TCP
0.331313,TCP
0.331313,TCP
0.331345,TCP
0.332178,TCP
0.332178,TCP
0.332206,TCP
0.335252,TCP
0.335252,TCP
0.335252,TCP
0.335252,TCP
0.335298,TCP
0.337595,TCP
0.337595,TCP
0.337657,TCP
0.34128,TCP
0.34128,TCP
0.341337,TCP
0.341969,TLSv1.2
0.341969,TLSv1.2
0.341969,TLSv1.2
0.341969,TLSv1.2
0.342007,TCP
0.344947,TLSv1.2
0.344947,TLSv1.2
0.344947,TLSv1.2
0.344947,TLSv1.2
0.344947,TLSv1.2
0.344985,TCP
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352071,TLSv1.2
0.352201,TCP
0.354389,TLSv1.2
0.354389,TLSv1.2
0.354389,TLSv1.2
0.354389,TLSv1.2
0.354512,TCP
0.357351,TLSv1.2
0.357351,TLSv1.2
0.357351,TLSv1.2
0.357351,TLSv1.2
0.357391,TCP
0.360316,TLSv1.2
0.360316,TLSv1.2
0.360356,TCP
0.36504,TLSv1.2
0.36504,TLSv1.2
0.36504,TLSv1.2
0.36504,TLSv1.2
0.36504,TLSv1.2
0.36504,TLSv1.2
0.36508,TCP
0.369768,MDNS
0.369768,TLSv1.2
0.369768,TLSv1.2
0.369768,TLSv1.2
0.369768,TLSv1.2
0.369768,TLSv1.2
0.369768,TLSv1.2
0.369946,TCP
0.372203,TLSv1.2
0.372203,TLSv1.2
0.372203,TLSv1.2
0.372203,TLSv1.2
0.372203,TLSv1.2
0.372203,TLSv1.2
0.372233,TCP
0.374574,TLSv1.2
0.374574,TLSv1.2
0.374608,TCP
0.377057,TLSv1.2
0.377057,TLSv1.2
0.377057,TLSv1.2
0.377057,TLSv1.2
0.377118,TCP
0.379048,TCP
0.379509,TLSv1.2
0.379528,TCP
0.381484,TLSv1.2
0.381484,TLSv1.2
0.381514,TCP
0.385016,TLSv1.2
0.385016,TLSv1.2
0.385046,TCP
0.385406,TLSv1.2
0.385568,TLSv1.2
0.385577,TCP
0.388526,TLSv1.2
0.388526,TLSv1.2
0.38856,TCP
0.395855,TLSv1.2
0.395855,TLSv1.2
0.395855,TLSv1.2
0.395855,TLSv1.2
0.395855,TCP
0.395855,TLSv1.2
0.395855,TLSv1.2
0.395855,TLSv1.2
0.395948,TCP
0.402298,TLSv1.2
0.402298,TLSv1.2
0.402298,TLSv1.2
0.402298,TCP
0.402298,TLSv1.2
0.402298,TLSv1.2
0.402298,TLSv1.2
0.402298,TLSv1.2
0.402356,TCP
0.404234,TLSv1.2
0.404234,TLSv1.2
0.404234,TLSv1.2
0.404234,TLSv1.2
0.404286,TCP
0.40697,TLSv1.2
0.40697,TLSv1.2
0.406997,TCP
0.407578,TLSv1.2
0.407578,TLSv1.2
0.4076,TCP
0.411071,TLSv1.2
0.411071,TLSv1.2
0.411071,TLSv1.2
0.411071,TLSv1.2
0.411109,TCP
0.413324,TLSv1.2
0.413324,TLSv1.2
0.413361,TCP
0.415441,TLSv1.2
0.415441,TLSv1.2
0.415441,TLSv1.2
0.415441,TLSv1.2
0.41549,TCP
0.419559,TLSv1.2
0.419559,TLSv1.2
0.419559,TLSv1.2
0.419559,TLSv1.2
0.419611,TCP
0.421249,TLSv1.2
0.421249,TLSv1.2
0.421249,TLSv1.2
0.421328,TCP
0.421911,TLSv1.2
0.421931,TCP
0.423294,TLSv1.2
0.423294,TLSv1.2
0.42334,TCP
0.425705,TLSv1.2
0.425705,TLSv1.2
0.425705,TCP
0.425705,TCP
0.425759,TCP
0.42862,TCP
0.42862,TCP
0.42862,TCP
0.42862,TCP
0.428644,TCP
0.430377,TCP
0.430377,TCP
0.430401,TCP
0.432054,TCP
0.432054,TCP
0.432078,TCP
0.434068,TLSv1.2
0.434068,TLSv1.2
0.434093,TCP
0.435014,TLSv1.2
0.435014,TLSv1.2
0.435036,TCP
0.436719,TLSv1.2
0.436719,TLSv1.2
