Time,Protocol
0.0,MDNS
0.0,TCP
0.0,TCP
0.0,TCP
0.000142,TCP
0.001169,TCP
0.001169,TCP
0.001169,TCP
0.001169,TCP
0.001206,TCP
0.001376,TCP
0.001376,TCP
0.001416,TCP
0.002824,TCP
0.002824,TCP
0.002824,TCP
0.002853,TCP
0.002901,TCP
0.002901,TCP
0.002928,TCP
0.003119,TCP
0.003119,TCP
0.003119,TCP
0.003119,TCP
0.003166,TCP
0.003193,TCP
0.004747,TCP
0.004747,TCP
0.004747,TCP
0.004747,TCP
0.004747,TCP
0.004747,TCP
0.004747,TCP
0.004796,TCP
0.004826,TCP
0.005205,TCP
0.005205,TCP
0.005205,TCP
0.005252,TCP
0.005583,TCP
0.005583,TCP
0.005583,TCP
0.005611,TCP
0.006761,TCP
0.006761,TCP
0.006761,TCP
0.006785,TCP
0.007638,TCP
0.007638,TCP
0.007638,TCP
0.007657,TCP
0.007858,TCP
0.007881,TCP
0.007968,TCP
0.007968,TCP
0.007985,TCP
0.009712,TCP
0.009712,TCP
0.009712,TCP
0.009712,TCP
0.009712,TCP
0.009712,TCP
0.009743,TCP
0.01159,TCP
0.01159,TCP
0.01159,TCP
0.01159,TCP
0.01159,TCP
0.01159,TCP
0.01159,TCP
0.011633,TCP
0.012419,TCP
0.012419,TCP
0.012419,TCP
0.012419,TCP
0.012457,TCP
0.012522,TCP
0.012546,TCP
0.012693,TCP
0.013771,TCP
0.013771,TCP
0.013771,TCP
0.013771,TCP
0.013798,TCP
0.01469,TCP
0.01469,TCP
0.01469,TCP
0.014737,TCP
0.015674,TCP
0.015674,TCP
0.015674,TCP
0.015708,TCP
0.016406,TCP
0.016406,TCP
0.016406,TCP
0.01643,TCP
0.016745,TCP
0.016745,TCP
0.016783,TCP
0.016972,TCP
0.017804,TCP
0.017804,TCP
0.017804,TCP
0.017833,TCP
0.018634,TCP
0.018634,TCP
0.018634,TCP
0.018634,TCP
0.018663,TCP
0.018887,TCP
0.018887,TCP
0.018911,TCP
0.020509,TCP
