Time,Protocol
0.0,TLSv1.2
0.0,TCP
0.0,TCP
7.1e-05,TCP
0.000915,TCP
0.000915,TCP
0.000969,TCP
0.001797,TCP
0.001797,TCP
0.001847,TCP
0.004292,TCP
0.004292,TCP
0.004292,TCP
0.004292,TCP
0.004341,TCP
0.007037,TCP
0.007037,TLSv1.2
0.007037,TCP
0.007037,TCP
0.007037,TCP
0.007037,TCP
0.007173,TCP
0.012209,TCP
0.012209,TCP
0.012209,TCP
0.012209,TCP
0.012209,TCP
0.012209,TLSv1.2
0.012209,TLSv1.2
0.012209,TCP
0.012209,TCP
0.01231,TCP
0.013192,TCP
0.013192,TCP
0.013192,TCP
0.013192,TCP
0.013268,TCP
0.01406,TCP
0.01406,TCP
0.014114,TCP
0.015108,TCP
0.015108,TCP
0.015147,TCP
0.016282,TCP
0.016282,TLSv1.2
0.016359,TCP
0.017043,TCP
0.017043,TCP
0.017079,TCP
0.017906,TCP
0.017906,TCP
0.017927,TCP
0.019021,TCP
0.019021,TCP
0.019075,TCP
0.027091,TCP
0.027091,TLSv1.2
0.027091,TLSv1.2
0.027181,TCP
0.02827,TCP
0.02827,TCP
0.02827,TCP
0.02827,TCP
0.028305,TCP
0.029066,TCP
0.029066,TCP
0.029091,TCP
0.030593,TCP
0.030593,TCP
0.030625,TCP
0.031597,TCP
0.031597,TCP
0.03166,TCP
0.032484,TCP
0.032484,TLSv1.2
0.032484,TCP
0.032537,TCP
0.033437,TCP
0.033437,TCP
0.033477,TCP
0.034552,TCP
0.034552,TCP
0.034552,TCP
0.034592,TCP
0.035669,TCP
0.035669,TCP
0.035744,TCP
0.03656,TCP
0.03656,TLSv1.2
0.036599,TCP
0.037647,TCP
0.037647,TLSv1.2
0.037684,TCP
0.044768,TLSv1.2
0.044768,TCP
0.044768,TCP
0.044855,TCP
0.045856,TCP
0.045856,TCP
0.045911,TCP
0.047041,TCP
0.047041,TCP
0.047041,TCP
0.047041,TCP
0.047096,TCP
0.047717,TCP
0.047717,TCP
0.047765,TCP
0.048843,TCP
0.048843,TLSv1.2
0.048889,TCP
0.048941,TCP
0.049113,TCP
0.04915,TCP
0.049906,TCP
0.049906,TCP
0.049953,TCP
0.050039,TCP
0.050635,TCP
0.050666,TCP
0.05097,TCP
0.051052,TCP
0.051081,TCP
0.051861,TCP
0.051861,TCP
0.051884,TCP
0.052925,TLSv1.2
0.052925,TCP
0.053003,TCP
0.054441,TCP
0.054441,TCP
0.054441,TCP
0.054441,TLSv1.2
0.054493,TCP
0.077689,MDNS
0.083149,ARP
0.087877,DHCP
0.095118,ARP
0.111931,TLSv1.2
0.112057,TCP
0.112057,TCP
0.112099,TCP
0.113803,TCP
0.113803,TCP
0.113871,TCP
0.114264,TCP
0.114264,TCP
0.11434,TCP
0.114993,TCP
0.114993,TCP
0.115068,TCP
0.11565,TCP
0.11565,TCP
0.115705,TCP
0.116898,TCP
0.116898,TLSv1.2
0.116968,TCP
0.117936,TCP
0.117936,TCP
0.118008,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TLSv1.2
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TLSv1.2
0.16393,TCP
0.16393,TCP
0.16393,TLSv1.2
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.16393,TCP
0.164049,TCP
0.164147,TCP
0.164147,TLSv1.2
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TLSv1.2
0.164147,TLSv1.2
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164147,TLSv1.2
0.164147,TLSv1.2
0.164147,TCP
0.164147,TCP
0.164147,TCP
0.164295,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TLSv1.2
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TCP
0.165471,TLSv1.2
0.165471,TCP
0.165471,TCP
0.165534,TCP
0.165587,ARP
0.165587,ARP
0.165587,ARP
0.167407,TCP
0.167407,TCP
0.167407,TCP
0.167407,TLSv1.2
0.167407,TCP
0.167407,TCP
0.167407,TCP
0.167488,TCP
0.167705,TCP
0.167705,TCP
0.167775,TCP
0.168617,TCP
0.168617,TCP
0.168689,TCP
0.169646,TCP
0.169646,TCP
0.169646,TCP
0.169646,TCP
0.169674,TCP
0.170461,TLSv1.2
0.170461,TCP
0.170461,ICMPv6
0.170482,TCP
0.172681,TCP
0.172681,TCP
0.172681,TCP
0.172681,TCP
0.172681,ICMPv6
0.172681,TLSv1.2
0.172728,TCP
0.232661,TLSv1.2
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TLSv1.2
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TLSv1.2
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232661,TCP
0.232967,TCP
0.23313,TCP
0.23313,TCP
0.23313,TLSv1.2
0.233165,TCP
0.233283,ARP
0.233283,ARP
0.251041,TLSv1.2
0.251041,TCP
0.251041,TCP
0.251041,TCP
0.251041,TCP
0.251041,TCP
0.251041,TCP
0.251041,TCP
