Time,Protocol
0.0,NBNS
0.07334,TLSv1.2
0.073684,TLSv1.2
0.085103,TLSv1.2
0.093108,TCP
0.139228,TCP
0.511377,UDP
0.51152,UDP
0.511571,UDP
0.511613,UDP
0.511662,UDP
0.511707,UDP
0.511751,UDP
0.547068,UDP
0.555182,UDP
0.555574,UDP
0.593621,ARP
0.593621,TLSv1.2
0.61312,UDP
0.613716,UDP
0.616558,UDP
0.616558,UDP
0.616558,UDP
0.616558,UDP
0.616558,UDP
0.63879,TCP
0.638817,UDP
0.66023,UDP
0.761346,NBNS
1.092118,UDP
1.093089,UDP
1.093536,UDP
1.093536,UDP
1.094932,UDP
1.095304,UDP
1.095605,UDP
1.095697,UDP
1.097137,UDP
1.097137,UDP
1.09829,UDP
1.09829,UDP
1.09829,UDP
1.09844,UDP
1.099043,UDP
1.099043,UDP
1.099043,UDP
1.09961,UDP
1.101175,UDP
1.101175,UDP
1.101334,UDP
1.102037,UDP
1.10496,UDP
1.10496,UDP
1.105279,UDP
1.105988,UDP
1.105988,UDP
1.105988,UDP
1.105988,UDP
1.105988,UDP
1.105988,UDP
1.106687,UDP
1.107061,UDP
1.10724,UDP
1.107711,UDP
1.108181,UDP
1.108181,UDP
1.108675,UDP
1.109129,UDP
1.109641,UDP
1.109641,UDP
1.109807,UDP
1.110088,UDP
1.110747,UDP
1.110747,UDP
1.111107,UDP
1.111763,UDP
1.111907,UDP
1.112098,UDP
1.112709,UDP
1.113188,UDP
1.11388,UDP
1.114072,UDP
1.114327,UDP
1.114327,UDP
1.119369,UDP
1.119539,UDP
1.120564,UDP
1.120564,UDP
1.120564,UDP
1.120564,UDP
1.120564,UDP
1.120564,UDP
1.120564,UDP
1.123927,UDP
1.123927,UDP
1.123927,UDP
1.123927,UDP
1.124043,UDP
1.128844,UDP
1.128844,UDP
1.128844,UDP
1.128844,UDP
1.128844,UDP
1.128844,UDP
1.128889,UDP
1.128889,UDP
1.128912,UDP
1.129764,UDP
1.129764,UDP
1.129764,UDP
1.129841,UDP
1.143214,UDP
1.143556,UDP
1.145007,UDP
1.146531,UDP
1.146531,UDP
1.146531,UDP
1.146531,UDP
1.146937,UDP
1.147822,UDP
1.147822,UDP
1.148705,UDP
1.148705,UDP
1.148705,UDP
1.148705,UDP
1.149314,UDP
1.149314,UDP
1.149947,UDP
1.150022,UDP
1.150022,UDP
1.150956,UDP
1.150956,UDP
1.151943,UDP
1.151943,UDP
1.151943,UDP
1.152057,UDP
1.152369,UDP
1.153798,UDP
1.153937,UDP
1.154322,UDP
1.154322,UDP
1.155175,UDP
1.155175,UDP
1.155175,UDP
1.155877,UDP
1.155877,UDP
1.15657,UDP
1.156715,UDP
1.157116,UDP
1.157116,UDP
1.157845,UDP
1.158801,UDP
1.159288,UDP
1.159405,UDP
1.159719,UDP
1.160801,UDP
1.161703,UDP
1.161703,UDP
1.161703,UDP
1.161798,UDP
1.162158,UDP
1.162158,UDP
1.163461,UDP
1.163461,UDP
1.164362,UDP
1.164362,UDP
1.164362,UDP
1.164362,UDP
1.16448,UDP
1.164904,UDP
1.164904,UDP
1.166003,UDP
1.166003,UDP
1.166739,UDP
1.166739,UDP
1.166739,UDP
1.166858,UDP
1.167374,UDP
1.167374,UDP
1.168473,UDP
1.168473,UDP
1.16955,UDP
1.16955,UDP
1.169679,UDP
1.170216,UDP
1.170216,UDP
1.171057,UDP
1.171057,UDP
1.171717,UDP
1.171717,UDP
1.171809,UDP
1.172115,UDP
1.172115,UDP
1.173817,UDP
1.173909,UDP
1.175616,UDP
1.175616,UDP
1.175616,UDP
1.175616,UDP
1.175616,UDP
1.175656,UDP
1.175656,UDP
1.175656,UDP
1.17686,UDP
1.17686,UDP
1.176947,UDP
1.177708,UDP
1.177708,UDP
1.177708,UDP
1.179051,UDP
1.179051,UDP
1.17955,UDP
1.17955,UDP
1.17955,UDP
1.179631,UDP
1.18016,UDP
1.180882,UDP
1.181365,UDP
1.181509,UDP
1.181923,UDP
1.182742,UDP
1.184,UDP
1.184,UDP
1.184,UDP
1.184012,UDP
1.184886,UDP
1.185599,UDP
1.185599,UDP
1.186098,UDP
1.186098,UDP
1.186234,UDP
1.186681,UDP
1.186681,UDP
1.187263,UDP
1.187805,UDP
1.188199,UDP
1.188268,UDP
1.18905,UDP
1.190154,UDP
1.190154,UDP
1.190469,UDP
1.192086,UDP
1.192086,UDP
1.192086,UDP
1.192444,UDP
1.193966,UDP
1.193966,UDP
1.194328,UDP
1.194328,UDP
1.194558,UDP
1.194558,UDP
1.194628,UDP
1.196053,UDP
1.196053,UDP
1.196053,UDP
1.196053,UDP
1.196053,UDP
1.196053,UDP
1.196053,UDP
1.196507,UDP
1.196765,UDP
1.197543,UDP
1.197543,UDP
1.19847,UDP
1.19847,UDP
1.198979,UDP
1.1993,UDP
1.1993,UDP
1.1993,UDP
1.200145,UDP
1.200145,UDP
1.200145,UDP
1.200631,UDP
1.201503,UDP
1.201503,UDP
1.201503,UDP
1.201503,UDP
1.201845,UDP
1.201963,UDP
1.20279,UDP
1.203501,UDP
1.203501,UDP
1.203906,UDP
1.203936,UDP
1.203936,UDP
1.204532,UDP
1.204532,UDP
1.207254,UDP
1.207605,UDP
1.208456,UDP
1.208456,UDP
1.208456,UDP
1.208456,UDP
1.208456,UDP
1.208456,UDP
1.208456,UDP
1.209255,UDP
1.209255,UDP
1.209255,UDP
1.209575,UDP
1.209934,UDP
1.209934,UDP
1.210746,UDP
1.210746,UDP
1.211225,UDP
1.211912,UDP
1.212087,UDP
1.212282,UDP
1.21316,UDP
1.21316,UDP
1.213778,UDP
1.213778,UDP
1.214375,UDP
1.214375,UDP
1.214526,UDP
1.215404,UDP
1.216029,UDP
1.216654,UDP
1.216716,UDP
1.217565,UDP
1.217565,UDP
1.219108,UDP
1.219108,UDP
1.219108,UDP
1.219298,UDP
1.220238,UDP
1.220238,UDP
1.220238,UDP
1.220238,UDP
1.221271,UDP
1.221271,UDP
1.221271,UDP
1.221645,UDP
1.22206,UDP
1.22206,UDP
1.22206,UDP
1.223179,UDP
1.223179,UDP
1.223629,UDP
1.223963,UDP
1.223963,UDP
1.223963,UDP
1.223963,UDP
1.224763,UDP
1.224763,UDP
1.22883,UDP
1.22883,UDP
1.229264,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231704,UDP
1.231995,UDP
1.2322,UDP
1.240339,UDP
1.240339,UDP
1.240339,UDP
1.240454,UDP
1.244556,UDP
1.245425,UDP
1.24566,UDP
1.25326,UDP
1.25575,UDP
1.256201,UDP
1.347278,TLSv1.2
1.401941,TCP
1.619292,ARP
1.810094,TLSv1.2
1.853456,TCP
2.131467,ARP
2.535382,ARP
3.380787,UDP
3.41461,UDP
3.432814,UDP
3.459632,UDP
3.459957,UDP
3.460317,UDP
3.479219,UDP
3.50257,UDP
3.649074,UDP
3.680996,UDP
3.698289,QUIC
3.698352,QUIC
3.698369,QUIC
3.69853,QUIC
3.698734,QUIC
3.728312,QUIC
3.728848,QUIC
3.741397,QUIC
3.76336,QUIC
3.763994,QUIC
3.764532,QUIC
3.764704,QUIC
3.764704,QUIC
3.764704,QUIC
3.764853,QUIC
3.770046,QUIC
3.770578,QUIC
3.771063,QUIC
3.794213,QUIC
3.794658,QUIC
3.899356,QUIC
3.899356,QUIC
3.899983,QUIC
3.900147,QUIC
3.907211,QUIC
3.90732,QUIC
3.90756,QUIC
3.907952,QUIC
3.908046,QUIC
3.908083,QUIC
3.926865,QUIC
3.939433,QUIC
3.972492,QUIC
3.972878,QUIC
3.972878,QUIC
3.973858,QUIC
3.974264,QUIC
3.97443,QUIC
3.97443,QUIC
3.975114,QUIC
3.975283,QUIC
4.002962,QUIC
4.003577,QUIC
4.003939,QUIC
4.110164,QUIC
4.110495,QUIC
4.11698,UDP
4.117047,UDP
4.117058,UDP
4.117067,UDP
4.138343,QUIC
4.151072,UDP
4.158524,UDP
4.161133,UDP
4.238984,UDP
4.239517,UDP
4.239563,UDP
4.240569,UDP
4.241884,UDP
4.241884,UDP
4.242964,UDP
4.242964,UDP
4.242964,UDP
4.242964,UDP
4.242964,UDP
4.244238,UDP
4.244238,UDP
4.244238,UDP
4.245373,UDP
4.245743,UDP
4.246227,UDP
4.271247,UDP
4.281177,ARP
4.28184,UDP
4.354943,QUIC
4.407569,QUIC
4.590925,TLSv1.2
4.616523,QUIC
4.631311,TCP
4.632296,TLSv1.2
4.66952,QUIC
4.678927,TCP
4.880305,QUIC
4.933848,QUIC
5.144391,QUIC
5.196999,QUIC
5.204296,ARP
5.409114,QUIC
5.425179,TLSv1.2
5.464801,QUIC
5.483628,TLSv1.2
5.533103,TCP
5.576802,DNS
5.587334,DNS
5.594244,TCP
5.627524,QUIC
5.641336,UDP
5.641493,UDP
5.641556,UDP
5.641607,UDP
5.657902,QUIC
5.662897,UDP
5.662962,UDP
5.662974,UDP
5.662984,UDP
5.662995,UDP
5.663156,UDP
5.663192,UDP
5.665834,TCP
5.665901,TCP
5.667915,TLSv1.3
5.673304,QUIC
5.676888,UDP
5.683143,UDP
5.688825,UDP
5.697708,UDP
5.705098,UDP
5.719526,UDP
5.725656,QUIC
5.73849,TCP
5.742154,TLSv1.3
5.74428,TCP
5.74428,TLSv1.3
5.74428,UDP
5.74428,UDP
5.74428,UDP
5.74428,UDP
5.744321,TCP
5.744552,UDP
5.755537,TLSv1.3
5.761034,TLSv1.3
5.767216,UDP
5.785877,UDP
5.806601,UDP
5.806826,UDP
5.808192,UDP
5.810239,UDP
5.810239,UDP
5.810608,UDP
