"No.","Time","Source","Destination","Protocol","Length","Info"
"3864","36.122166","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3865","36.123360","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3866","36.126859","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3867","36.126859","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3868","36.126859","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3869","36.126859","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3870","36.127172","192.168.1.104","212.156.184.18","UDP","79","58960  >  443 Len=37"
"3871","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3872","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3873","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3874","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3875","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3876","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3877","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3878","36.129034","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3879","36.129200","192.168.1.104","212.156.184.18","UDP","84","58960  >  443 Len=42"
"3880","36.129326","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3881","36.129611","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3882","36.130758","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3883","36.130758","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3884","36.130758","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3885","36.130867","192.168.1.104","212.156.184.18","UDP","79","58960  >  443 Len=37"
"3886","36.131793","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3887","36.131793","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
