"No.","Time","Source","Destination","Protocol","Length","Info"
"4129","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4130","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4131","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4132","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4133","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4134","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4135","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4136","36.229926","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4137","36.230386","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4138","36.230820","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4139","36.232263","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4140","36.232263","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4141","36.232453","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4142","36.233079","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4143","36.233079","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4144","36.233079","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4145","36.233891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4146","36.233891","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4147","36.234459","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4148","36.234610","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4149","36.234610","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4150","36.235521","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4151","36.235521","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4152","36.236057","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4153","36.236629","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4154","36.237006","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4155","36.237102","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4156","36.237979","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4157","36.238576","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4158","36.239050","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4159","36.239687","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4160","36.239687","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4161","36.239875","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4162","36.240240","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
