"No.","Time","Source","Destination","Protocol","Length","Info"
"5247","12.647366","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5248","12.647366","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5249","12.647366","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5250","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5251","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5252","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5253","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5254","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5255","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5256","12.652393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5257","12.652603","192.168.1.105","212.156.184.13","QUIC","83","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5258","12.652656","192.168.1.105","212.156.184.13","QUIC","85","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5259","12.652675","192.168.1.105","212.156.184.13","QUIC","90","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5260","12.652689","192.168.1.105","212.156.184.13","QUIC","85","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5261","12.652700","192.168.1.105","212.156.184.13","QUIC","85","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5262","12.653870","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5263","12.653870","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5264","12.653870","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5265","12.653870","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5266","12.658041","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5267","12.658041","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5268","12.658041","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"5269","12.658392","192.168.1.105","212.156.184.13","QUIC","85","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"5270","12.658813","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
